"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal ","Descripcio_dia_setmana","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_conductor","Coordenada_UTM_X_ED50","Coordenada_UTM_Y_ED50","Longitud","Latitud"
"2016S005548    ",8,"Nou Barris",45,"Porta",355709,"Vèlia","0065 0065","Dijous","2016",7,"Juliol","14","16","Desconegut","Tarda","430840.92 ","4587055.7 ","2.17114352969662","41.4302454972416"
"2016S008684    ",8,"Nou Barris",45,"Porta",289852,"Rosselló i Porcel","0014 0014","Dissabte","2016",11,"Novembre","12","12","Altres","Matí","430802.4  ","4587014.27","2.17068729560223","41.4298690320025"
"2016S009631    ",8,"Nou Barris",45,"Porta",193505,"Manuel Sancho","0005 0005","Dijous","2016",12,"Desembre","15","13","Manca d'atenció a la conducció","Matí","430304.95 ","4586805.73","2.16475826021603","41.4279477439041"
"2016S003211    ",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",14107,"Amílcar","0059 0059","Dimecres","2016",4,"Abril","27","21","Desobeir semàfor","Tarda","431089.43 ","4587048.05","2.17411840139279","41.4301979750385"
"2016S000577    ",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",190700,"Malgrat","0078 0078","Dissabte","2016",1,"Gener","23","15","Altres","Tarda","431098.52 ","4586772.3 ","2.17425864127806","41.4277151751752"
"2016S004886    ",-1,"Desconegut",-1,"Desconegut",-1,"Desconegut","Desconegut","Dimarts","2016",6,"Juny","21","18","Desobeir altres senyals","Tarda","428989.33 ","4579247.93","2.14990142012880","41.3597620632343"
"2016S003506    ",-1,"Desconegut",-1,"Desconegut",-1,"Desconegut","Desconegut","Dissabte","2016",5,"Maig","7","10","Altres","Matí","433242.65 ","4588428.8 ","2.19973410592259","41.4428159686526"
"2016S009873    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",283200,"Ripollès","0091 0091","Dimecres","2016",12,"Desembre","21","21","Desobeir altres senyals","Tarda","432141.03 ","4585382.64","2.18689031416923","41.4152877819504"
"2016S001337    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",283200,"Ripollès","0093 0093","Dissabte","2016",2,"Febrer","20","06","Desobeir semàfor","Matí","432141.03 ","4585382.64","2.18689031416923","41.4152877819504"
"2016S003848    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",283200,"Ripollès","0093 0093","Dijous","2016",5,"Maig","19","16","Altres","Tarda","432141.03 ","4585382.64","2.18689031416923","41.4152877819504"
